session_id,device_type,mouse_movement,touch_events,keyboard_events,click_events,scroll_events,time_on_page,screen_size,browser_info,language,timezone_offset,device_orientation,device_motion,geolocation_city,ip_cluster,anomaly_score,label
session_14,PC,2,4,6,6,5,37,1440x900,Firefox,en-GB,-7,landscape,0.96,Chennai,ClusterB,0.971,1
session_15,Mobile,3,1,15,5,6,2,1920x1080,Chrome,hi-IN,4,portrait,0.54,Bangalore,ClusterA,0.501,0
session_16,Mobile,2,2,2,1,11,8,414x896,Safari,en-GB,14,none,1.18,Delhi,ClusterC,0.514,0
session_17,PC,6,2,9,4,1,27,1920x1080,Safari,en-US,5,portrait,0.52,Bangalore,ClusterC,0.429,0
session_18,Mobile,5,1,15,3,19,16,1366x768,Edge,fr-FR,-10,none,0.78,Bangalore,ClusterC,0.324,0
session_19,PC,5,2,7,1,2,232,360x640,Firefox,en-US,-2,landscape,1.25,Delhi,ClusterC,0.378,0
session_20,PC,3,5,6,3,11,34,414x896,Firefox,en-GB,-7,landscape,0.83,Delhi,ClusterC,0.331,0
session_21,Mobile,4,7,4,6,14,25,414x896,Safari,en-US,3,none,1.31,Unknown,ClusterB,0.394,0
session_22,PC,3,5,8,3,2,1,360x640,Chrome,en-GB,-3,none,0.95,Chennai,ClusterA,0.151,0
session_23,Mobile,6,1,11,7,13,40,1366x768,Firefox,en-US,-11,landscape,1.13,Kolkata,ClusterB,0.236,0
session_24,PC,3,5,10,2,12,19,1366x768,Safari,hi-IN,-8,portrait,0.97,Bangalore,ClusterC,0.308,0
session_25,PC,10,7,8,6,15,29,360x640,Safari,en-GB,2,portrait,1.19,Unknown,ClusterC,0.279,0
session_26,PC,2,1,9,1,8,78,360x640,Safari,en-GB,6,none,1.37,Chennai,ClusterA,0.315,0
session_27,Mobile,9,0,6,3,10,212,414x896,Safari,hi-IN,1,portrait,0.71,Bangalore,ClusterC,0.077,0
session_28,PC,6,0,6,7,13,25,360x640,Safari,en-US,12,none,1.18,Unknown,ClusterB,0.315,0
session_29,PC,9,3,4,8,3,44,1366x768,Edge,en-GB,-12,landscape,0.99,Mumbai,ClusterC,0.537,0
session_30,PC,6,0,7,4,16,16,1920x1080,Safari,fr-FR,-8,none,1.4,Bangalore,ClusterC,0.189,0
session_31,Mobile,8,0,8,7,13,5,414x896,Firefox,en-US,-11,none,0.84,Kolkata,ClusterC,0.213,0
session_32,PC,8,5,4,1,3,153,1440x900,Firefox,fr-FR,5,landscape,0.98,Unknown,ClusterC,0.29,0
session_33,Mobile,4,4,6,4,1,36,360x640,Firefox,en-US,14,portrait,1.17,Unknown,ClusterA,0.218,0
session_34,PC,2,3,5,3,9,61,1366x768,Edge,fr-FR,4,none,0.3,Mumbai,ClusterA,0.262,0
session_35,PC,2,1,6,2,11,4,414x896,Firefox,fr-FR,4,portrait,0.96,Kolkata,ClusterC,0.689,0
session_36,PC,5,5,7,4,10,230,414x896,Edge,fr-FR,-12,portrait,1.27,Kolkata,ClusterB,0.913,1
session_37,Mobile,3,3,6,4,7,0,1440x900,Safari,en-US,8,none,0.88,Mumbai,ClusterA,0.271,0
session_38,Mobile,6,0,4,5,13,32,1366x768,Chrome,fr-FR,-2,landscape,0.81,Kolkata,ClusterC,0.379,0
session_39,Mobile,5,4,8,4,13,174,360x640,Edge,hi-IN,14,none,0.87,Delhi,ClusterC,0.182,0
session_40,Mobile,3,2,6,4,12,44,360x640,Edge,en-US,9,portrait,0.68,Mumbai,ClusterC,0.417,0
session_41,Mobile,5,4,4,4,5,203,1440x900,Chrome,en-US,-2,none,0.91,Kolkata,ClusterB,0.909,1
session_42,PC,5,0,8,5,18,20,1920x1080,Safari,hi-IN,-5,landscape,1.53,Kolkata,ClusterA,0.265,0
session_43,PC,6,4,3,4,0,29,1920x1080,Firefox,en-US,-5,landscape,1.01,Bangalore,ClusterC,0.362,0
session_44,PC,3,3,11,7,19,36,1920x1080,Firefox,hi-IN,2,none,1.69,Delhi,ClusterC,0.373,0
session_45,PC,7,5,9,8,6,65,1366x768,Edge,en-GB,3,portrait,0.76,Bangalore,ClusterC,0.143,0
session_46,PC,8,2,9,6,0,21,360x640,Safari,en-US,10,none,0.77,Delhi,ClusterA,0.157,0
session_47,PC,5,3,10,2,5,53,1920x1080,Edge,en-GB,-6,none,0.64,Chennai,ClusterA,0.26,0
session_48,Mobile,5,2,6,3,17,107,1440x900,Firefox,en-US,-11,none,1.2,Unknown,ClusterC,0.233,0
session_49,PC,2,3,7,3,3,76,360x640,Chrome,fr-FR,14,portrait,0.86,Chennai,ClusterA,0.151,0
session_50,PC,7,3,7,3,7,0,1440x900,Safari,en-US,-6,portrait,1.54,Mumbai,ClusterB,0.389,0
session_51,PC,2,4,7,9,17,133,1440x900,Safari,en-GB,-4,portrait,0.71,Delhi,ClusterA,0.071,0
session_52,PC,6,1,2,5,18,30,1440x900,Edge,fr-FR,12,portrait,0.53,Kolkata,ClusterA,0.315,0
session_53,Mobile,7,5,10,9,12,20,360x640,Edge,en-GB,8,portrait,0.8,Delhi,ClusterB,0.42,0
session_54,PC,6,2,7,6,19,196,414x896,Edge,fr-FR,-8,landscape,1.57,Kolkata,ClusterB,0.153,0
session_55,Mobile,8,4,9,9,16,151,1920x1080,Safari,en-GB,9,portrait,0.55,Chennai,ClusterA,0.302,0
session_56,PC,5,6,4,8,3,20,1920x1080,Safari,hi-IN,13,landscape,1.49,Delhi,ClusterC,0.25,0
session_57,Mobile,4,3,7,9,1,12,1440x900,Safari,en-US,0,landscape,1.08,Bangalore,ClusterA,0.171,0
session_58,PC,3,1,5,9,7,32,1440x900,Safari,en-US,-9,portrait,1.27,Mumbai,ClusterA,0.442,0
session_59,PC,4,3,7,7,5,5,1920x1080,Chrome,en-US,10,portrait,2.26,Delhi,ClusterB,0.238,0
session_60,Mobile,9,5,4,6,2,120,360x640,Safari,en-US,0,landscape,0.61,Unknown,ClusterB,0.614,0
session_61,PC,6,4,8,3,17,73,414x896,Firefox,hi-IN,5,none,1.31,Unknown,ClusterC,0.573,0
session_62,Mobile,3,1,1,5,10,96,1920x1080,Edge,en-US,5,none,0.58,Delhi,ClusterB,0.253,0
session_63,Mobile,6,3,7,8,4,164,360x640,Safari,en-US,-7,landscape,0.76,Bangalore,ClusterC,0.033,0
session_64,Mobile,5,0,1,9,19,66,1440x900,Firefox,fr-FR,-11,landscape,0.75,Delhi,ClusterB,0.613,0
session_65,PC,5,3,8,2,13,21,414x896,Firefox,en-US,9,none,0.43,Kolkata,ClusterB,0.14,0
session_66,Mobile,7,4,5,1,11,38,1440x900,Firefox,hi-IN,-9,none,0.78,Bangalore,ClusterC,0.358,0
session_67,PC,5,2,11,3,14,69,1366x768,Chrome,en-US,1,landscape,1.26,Chennai,ClusterB,0.629,0
session_68,PC,6,1,9,1,8,38,414x896,Chrome,en-GB,2,none,1.18,Kolkata,ClusterB,0.154,0
session_69,Mobile,2,5,8,7,18,149,1440x900,Chrome,en-US,-11,none,0.32,Delhi,ClusterB,0.159,0
session_70,Mobile,7,2,9,7,12,155,1366x768,Safari,en-GB,-9,portrait,0.75,Bangalore,ClusterA,0.089,0
session_71,Mobile,6,5,13,1,12,44,360x640,Chrome,hi-IN,9,landscape,1.14,Mumbai,ClusterA,0.427,0
session_72,Mobile,8,2,6,1,7,40,1920x1080,Safari,en-US,3,none,1.15,Chennai,ClusterA,0.131,0
session_73,PC,3,3,5,9,15,3,360x640,Edge,en-GB,-9,none,0.62,Bangalore,ClusterB,0.257,0
session_74,Mobile,3,3,13,4,11,94,360x640,Firefox,hi-IN,11,portrait,1.23,Unknown,ClusterC,0.271,0
session_75,PC,8,3,11,5,5,51,1440x900,Edge,fr-FR,8,landscape,-0.43,Mumbai,ClusterA,0.309,0
session_76,PC,4,2,4,8,2,10,1920x1080,Firefox,fr-FR,1,portrait,0.19,Chennai,ClusterC,0.259,0
session_77,Mobile,6,3,13,9,0,93,360x640,Safari,hi-IN,0,none,0.99,Kolkata,ClusterB,0.297,0
session_78,Mobile,9,3,6,7,3,20,414x896,Chrome,en-US,1,landscape,0.48,Delhi,ClusterA,0.338,0
session_79,Mobile,3,5,5,6,16,67,1366x768,Chrome,hi-IN,11,none,1.5,Mumbai,ClusterA,0.494,0
session_80,Mobile,5,3,12,4,7,16,360x640,Safari,en-GB,4,none,0.7,Mumbai,ClusterA,0.249,0
session_81,PC,1,3,7,6,5,52,360x640,Edge,en-GB,-9,landscape,1.2,Mumbai,ClusterA,0.429,0
session_82,Mobile,2,1,3,5,11,61,414x896,Firefox,en-GB,8,none,0.58,Mumbai,ClusterC,0.46,0
session_83,Mobile,5,1,7,4,9,43,1440x900,Edge,en-GB,12,portrait,0.29,Delhi,ClusterA,0.923,1
session_84,Mobile,6,4,9,6,8,72,1366x768,Safari,fr-FR,-11,none,1.13,Bangalore,ClusterB,0.884,1
session_85,Mobile,8,2,5,3,1,8,1440x900,Edge,fr-FR,-5,none,0.81,Kolkata,ClusterB,0.261,0
session_86,Mobile,3,3,5,8,6,110,1920x1080,Edge,hi-IN,6,landscape,0.92,Kolkata,ClusterC,0.279,0
session_87,Mobile,8,2,5,4,16,60,1920x1080,Safari,fr-FR,10,portrait,1.27,Mumbai,ClusterA,0.241,0
session_88,PC,2,3,7,2,17,8,414x896,Chrome,en-GB,6,portrait,0.84,Mumbai,ClusterC,0.112,0
session_89,PC,6,3,15,4,3,18,360x640,Edge,hi-IN,7,none,0.78,Unknown,ClusterB,0.438,0
session_90,Mobile,9,4,9,4,16,0,414x896,Safari,fr-FR,1,portrait,1.24,Mumbai,ClusterA,0.432,0
session_91,PC,8,1,8,5,12,58,360x640,Edge,fr-FR,-6,landscape,1.36,Mumbai,ClusterA,0.205,0
session_92,Mobile,10,2,6,3,17,26,414x896,Edge,en-US,5,landscape,0.15,Kolkata,ClusterB,0.497,0
session_93,PC,5,2,6,5,18,3,1920x1080,Safari,en-GB,0,none,1.46,Unknown,ClusterA,0.3,0
session_94,PC,10,3,5,3,11,18,1366x768,Firefox,hi-IN,-2,none,0.25,Mumbai,ClusterA,0.044,0
session_95,PC,4,2,7,3,16,60,414x896,Firefox,fr-FR,-1,none,0.52,Kolkata,ClusterC,0.295,0
session_96,Mobile,4,4,6,6,1,64,414x896,Safari,en-US,4,portrait,0.78,Mumbai,ClusterA,0.231,0
session_97,Mobile,4,1,9,9,2,0,414x896,Chrome,en-GB,11,none,1.59,Mumbai,ClusterC,0.213,0
session_98,Mobile,3,4,8,3,14,109,414x896,Edge,en-US,14,landscape,0.85,Mumbai,ClusterA,0.277,0
session_99,Mobile,6,6,6,8,5,80,1366x768,Safari,hi-IN,-2,none,1.35,Kolkata,ClusterB,0.175,0
session_100,PC,4,6,10,6,11,57,360x640,Edge,en-GB,10,portrait,0.46,Delhi,ClusterC,0.177,0
session_101,Mobile,2,1,3,2,11,70,1440x900,Edge,en-GB,14,none,0.18,Unknown,ClusterB,0.094,0
session_102,Mobile,3,1,5,1,6,138,414x896,Safari,fr-FR,-11,portrait,1.66,Bangalore,ClusterC,0.249,0
session_103,Mobile,2,4,8,9,14,12,1366x768,Firefox,hi-IN,-6,landscape,1.01,Delhi,ClusterB,0.11,0
session_104,PC,7,3,7,9,18,197,1366x768,Chrome,hi-IN,4,landscape,1.12,Unknown,ClusterA,0.388,0
session_105,Mobile,3,3,3,4,18,75,1920x1080,Firefox,en-US,-12,none,0.58,Delhi,ClusterC,0.144,0
session_106,Mobile,5,3,6,7,15,27,1920x1080,Edge,hi-IN,8,none,1.39,Unknown,ClusterB,0.339,0
session_107,PC,3,1,9,3,5,31,414x896,Safari,en-US,8,landscape,0.32,Kolkata,ClusterB,0.218,0
session_108,Mobile,3,5,7,3,4,17,360x640,Chrome,hi-IN,-12,portrait,0.53,Kolkata,ClusterB,0.247,0
session_109,PC,8,3,10,4,11,36,414x896,Edge,fr-FR,0,landscape,0.72,Kolkata,ClusterA,0.45,0
session_110,PC,8,2,7,5,4,15,1920x1080,Safari,fr-FR,13,none,1.6,Delhi,ClusterB,0.834,0
session_111,Mobile,3,4,6,4,17,10,1920x1080,Edge,en-US,-5,portrait,1.35,Kolkata,ClusterB,0.392,0
session_112,Mobile,3,1,9,4,13,15,360x640,Chrome,fr-FR,-7,landscape,0.98,Mumbai,ClusterB,0.173,0
session_113,Mobile,4,0,3,3,13,16,414x896,Safari,en-GB,9,landscape,1.07,Chennai,ClusterB,0.135,0
session_114,PC,1,3,6,1,3,16,1366x768,Safari,en-GB,0,portrait,0.44,Delhi,ClusterC,0.02,0
session_115,PC,8,2,6,8,6,22,414x896,Safari,fr-FR,4,none,1.27,Kolkata,ClusterA,0.151,0
session_116,Mobile,2,4,9,4,3,20,414x896,Chrome,hi-IN,8,landscape,0.62,Mumbai,ClusterC,0.949,1
session_117,PC,2,4,5,1,7,3,1920x1080,Firefox,hi-IN,-7,portrait,1.04,Kolkata,ClusterA,0.018,0
session_118,PC,7,1,5,9,13,96,360x640,Safari,hi-IN,4,portrait,1.21,Bangalore,ClusterA,0.156,0
session_119,Mobile,5,6,3,3,0,110,1440x900,Firefox,hi-IN,-12,portrait,0.99,Delhi,ClusterC,0.634,0
session_120,Mobile,6,3,10,1,1,11,1920x1080,Edge,en-GB,0,landscape,1.06,Mumbai,ClusterB,0.391,0
session_121,PC,1,4,12,9,17,82,360x640,Chrome,hi-IN,14,none,1.38,Unknown,ClusterC,0.114,0
session_122,PC,5,4,13,5,0,17,360x640,Safari,fr-FR,-5,portrait,1.31,Kolkata,ClusterA,0.251,0
session_123,Mobile,7,3,3,1,18,56,1920x1080,Chrome,en-GB,-8,none,0.6,Kolkata,ClusterB,0.241,0
session_124,PC,7,3,11,7,15,6,414x896,Edge,fr-FR,-1,none,1.04,Delhi,ClusterB,0.19,0
session_125,PC,3,6,8,1,16,36,1920x1080,Chrome,fr-FR,-8,landscape,0.47,Delhi,ClusterC,0.219,0
session_126,PC,2,2,12,2,12,72,414x896,Firefox,fr-FR,-2,none,1.26,Mumbai,ClusterB,0.309,0
session_127,PC,5,6,6,4,13,105,1920x1080,Safari,hi-IN,-8,landscape,1.34,Mumbai,ClusterC,0.055,0
session_128,PC,4,5,8,2,8,50,360x640,Edge,hi-IN,6,none,0.34,Delhi,ClusterB,0.227,0
session_129,Mobile,4,2,9,3,8,0,1920x1080,Firefox,fr-FR,1,landscape,1.2,Delhi,ClusterA,0.508,0
session_130,Mobile,5,2,7,7,12,97,414x896,Safari,fr-FR,0,none,0.83,Delhi,ClusterC,0.016,0
session_131,Mobile,5,0,5,2,4,31,414x896,Chrome,en-US,12,none,0.87,Kolkata,ClusterC,0.358,0
session_132,PC,5,1,11,3,14,133,1366x768,Chrome,en-GB,-8,portrait,0.09,Delhi,ClusterA,0.59,0
session_133,Mobile,8,7,3,4,6,48,1920x1080,Firefox,hi-IN,1,portrait,0.1,Bangalore,ClusterB,0.256,0
session_134,Mobile,6,3,9,1,10,103,1440x900,Firefox,en-GB,13,portrait,1.77,Bangalore,ClusterC,0.304,0
session_135,Mobile,3,2,5,9,8,12,360x640,Edge,en-US,12,none,1.87,Chennai,ClusterC,0.175,0
session_136,Mobile,7,0,7,5,11,14,360x640,Firefox,en-GB,12,landscape,0.58,Delhi,ClusterB,0.552,0
session_137,PC,5,1,12,8,16,142,360x640,Chrome,hi-IN,8,landscape,1.11,Chennai,ClusterC,0.583,0
session_138,Mobile,5,4,11,4,15,95,1366x768,Edge,hi-IN,0,portrait,1.17,Chennai,ClusterB,0.232,0
session_139,Mobile,6,4,4,2,10,48,414x896,Edge,en-US,8,landscape,0.89,Delhi,ClusterB,0.1,0
session_140,Mobile,7,5,14,2,7,99,1920x1080,Safari,en-GB,11,none,1.6,Unknown,ClusterB,0.545,0
session_141,Mobile,5,5,10,2,9,18,1366x768,Safari,fr-FR,12,portrait,0.01,Chennai,ClusterC,0.245,0
session_142,Mobile,4,1,6,9,10,331,1440x900,Safari,fr-FR,-10,landscape,-0.24,Chennai,ClusterA,0.284,0
session_143,Mobile,4,5,6,3,4,4,1440x900,Safari,en-US,2,landscape,1.18,Mumbai,ClusterB,0.552,0
session_144,PC,6,3,11,2,6,41,360x640,Chrome,en-GB,10,none,0.24,Mumbai,ClusterB,0.223,0
session_145,Mobile,10,1,7,4,19,28,1440x900,Safari,hi-IN,11,landscape,1.02,Unknown,ClusterC,0.238,0
session_146,PC,3,1,4,7,16,27,1366x768,Safari,en-US,-4,landscape,0.47,Delhi,ClusterC,0.311,0
session_147,PC,3,2,9,3,6,154,1440x900,Safari,fr-FR,1,none,0.67,Unknown,ClusterA,0.379,0
session_148,Mobile,3,3,4,5,11,34,1366x768,Safari,fr-FR,7,landscape,1.44,Bangalore,ClusterA,0.622,0
session_149,PC,6,3,4,4,16,0,360x640,Chrome,en-GB,7,landscape,1.97,Bangalore,ClusterB,0.125,0
session_150,PC,2,3,6,6,19,33,1920x1080,Edge,en-GB,8,portrait,1.12,Bangalore,ClusterC,0.369,0
session_151,Mobile,4,2,3,4,15,69,1366x768,Firefox,hi-IN,8,portrait,0.57,Mumbai,ClusterC,0.218,0
session_152,Mobile,7,2,6,2,17,60,414x896,Safari,fr-FR,8,landscape,0.57,Delhi,ClusterA,0.621,0
session_153,Mobile,3,5,5,6,4,48,414x896,Safari,en-US,13,landscape,1.13,Mumbai,ClusterC,0.026,0
session_154,PC,3,1,5,2,1,57,414x896,Firefox,hi-IN,2,none,1.63,Chennai,ClusterC,0.356,0
session_155,PC,2,3,9,1,9,8,360x640,Firefox,en-US,13,portrait,1.03,Unknown,ClusterB,0.228,0
session_156,Mobile,3,3,7,1,6,52,1920x1080,Safari,en-GB,12,portrait,0.18,Unknown,ClusterC,0.121,0
session_157,PC,3,5,8,9,0,18,414x896,Safari,en-US,-2,landscape,2.23,Mumbai,ClusterC,0.451,0
session_158,PC,4,5,6,1,10,270,1366x768,Firefox,en-GB,13,none,0.47,Bangalore,ClusterC,0.042,0
session_159,PC,1,3,8,7,19,122,414x896,Chrome,en-US,-8,landscape,0.29,Delhi,ClusterA,0.466,0
session_160,Mobile,3,4,3,6,3,100,1366x768,Firefox,en-US,4,portrait,0.36,Delhi,ClusterA,0.122,0
session_161,Mobile,10,4,6,8,4,31,360x640,Edge,en-GB,14,none,0.9,Bangalore,ClusterB,0.107,0
session_162,Mobile,4,3,11,4,9,26,1440x900,Firefox,en-GB,11,landscape,1.52,Unknown,ClusterB,0.269,0
session_163,Mobile,4,2,7,8,13,105,360x640,Chrome,en-GB,0,portrait,0.86,Chennai,ClusterA,0.112,0
session_164,PC,6,1,11,2,7,31,1440x900,Edge,hi-IN,12,none,1.08,Mumbai,ClusterB,0.212,0
session_165,Mobile,4,3,4,3,9,154,1440x900,Safari,hi-IN,9,none,0.66,Mumbai,ClusterA,0.254,0
session_166,PC,5,1,2,4,1,10,1440x900,Edge,hi-IN,9,portrait,0.56,Delhi,ClusterA,0.116,0
session_167,Mobile,5,4,5,2,13,110,414x896,Edge,en-GB,6,portrait,0.92,Bangalore,ClusterA,0.341,0
session_168,Mobile,4,3,11,5,14,13,1440x900,Edge,hi-IN,8,landscape,1.53,Unknown,ClusterA,0.978,1
session_169,Mobile,7,2,11,5,1,82,1920x1080,Edge,hi-IN,0,landscape,1.4,Kolkata,ClusterB,0.503,0
session_170,Mobile,3,1,2,7,11,189,1920x1080,Firefox,hi-IN,-6,none,-0.39,Chennai,ClusterC,0.282,0
session_171,PC,12,1,1,4,10,91,1366x768,Safari,fr-FR,10,portrait,1.55,Chennai,ClusterB,0.564,0
session_172,Mobile,6,3,9,2,10,28,1366x768,Firefox,en-GB,8,portrait,1.3,Unknown,ClusterB,0.471,0
session_173,PC,1,4,8,6,7,48,1920x1080,Edge,en-US,-4,landscape,0.78,Bangalore,ClusterA,0.075,0
session_174,PC,5,0,10,2,11,202,414x896,Chrome,hi-IN,1,none,1.91,Bangalore,ClusterA,0.824,1
session_175,Mobile,2,3,4,1,9,74,1920x1080,Safari,hi-IN,9,portrait,1.03,Unknown,ClusterB,0.443,0
session_176,Mobile,2,0,8,9,16,61,1920x1080,Firefox,hi-IN,0,none,1.31,Bangalore,ClusterC,0.669,0
session_177,PC,7,3,6,8,6,25,414x896,Chrome,en-US,-2,portrait,0.98,Mumbai,ClusterA,0.305,0
session_178,Mobile,5,2,5,8,7,77,1920x1080,Chrome,en-GB,0,none,1.07,Chennai,ClusterC,0.084,0
session_179,Mobile,5,3,7,7,13,9,414x896,Safari,en-GB,4,landscape,0.89,Mumbai,ClusterB,0.435,0
session_180,Mobile,6,4,9,8,13,10,1440x900,Edge,fr-FR,14,landscape,0.17,Bangalore,ClusterA,0.137,0
session_181,Mobile,5,2,8,3,4,47,360x640,Safari,hi-IN,9,none,0.74,Mumbai,ClusterB,0.197,0
session_182,Mobile,5,3,11,6,10,55,414x896,Firefox,fr-FR,7,none,2.08,Chennai,ClusterB,0.305,0
session_183,PC,8,4,5,5,2,53,1366x768,Firefox,en-US,5,landscape,1.71,Kolkata,ClusterB,0.296,0
session_184,PC,8,5,5,5,3,76,1440x900,Chrome,hi-IN,-8,landscape,1.18,Chennai,ClusterB,0.642,0
session_185,Mobile,4,5,7,5,6,89,1440x900,Safari,fr-FR,14,portrait,0.62,Unknown,ClusterC,0.492,0
session_186,Mobile,7,3,11,1,2,18,1366x768,Safari,en-GB,10,portrait,0.82,Mumbai,ClusterC,0.042,0
session_187,Mobile,8,3,3,4,2,63,1920x1080,Safari,fr-FR,-10,none,0.55,Bangalore,ClusterC,0.432,0
session_188,Mobile,4,2,6,9,8,77,360x640,Edge,en-GB,9,none,0.74,Unknown,ClusterB,0.224,0
session_189,PC,7,4,4,8,10,20,1920x1080,Safari,hi-IN,14,landscape,1.13,Unknown,ClusterB,0.113,0
session_190,Mobile,5,4,6,3,1,42,1366x768,Edge,en-US,-12,none,0.88,Mumbai,ClusterB,0.567,0
session_191,Mobile,3,3,4,7,8,22,414x896,Safari,hi-IN,-5,portrait,0.69,Unknown,ClusterA,0.142,0
session_192,Mobile,5,1,8,4,16,17,360x640,Chrome,fr-FR,-12,none,0.08,Chennai,ClusterC,0.343,0
session_193,PC,6,2,11,4,10,14,360x640,Safari,en-GB,3,landscape,0.27,Chennai,ClusterC,0.675,0
session_194,PC,4,2,6,7,8,123,360x640,Edge,fr-FR,9,none,1.72,Kolkata,ClusterB,0.316,0
session_195,Mobile,8,0,8,5,6,38,1920x1080,Chrome,hi-IN,-3,portrait,2.14,Unknown,ClusterA,0.154,0
session_196,Mobile,8,0,10,6,1,5,360x640,Firefox,hi-IN,1,portrait,0.74,Unknown,ClusterB,0.367,0
session_197,PC,10,3,9,7,14,51,1920x1080,Safari,hi-IN,3,none,1.36,Bangalore,ClusterB,0.068,0
session_198,PC,4,3,11,9,3,178,414x896,Firefox,en-US,-10,none,1.02,Bangalore,ClusterC,0.152,0
session_199,Mobile,1,3,8,1,8,16,1920x1080,Safari,en-GB,-10,portrait,0.19,Mumbai,ClusterC,0.482,0
session_200,Mobile,5,9,5,5,14,206,1366x768,Firefox,en-US,-11,none,0.75,Delhi,ClusterC,0.199,0
session_201,Mobile,2,5,9,9,2,1,360x640,Firefox,fr-FR,-4,landscape,1.51,Unknown,ClusterA,0.167,0
session_202,PC,7,2,7,6,13,48,1440x900,Chrome,en-GB,-9,none,1.27,Unknown,ClusterA,0.353,0
session_203,Mobile,14,2,6,2,9,80,414x896,Firefox,en-US,13,portrait,1.57,Unknown,ClusterB,0.146,0
session_204,Mobile,4,4,9,5,8,36,1366x768,Safari,hi-IN,-9,portrait,0.79,Mumbai,ClusterA,0.184,0
session_205,Mobile,4,2,6,3,11,65,1440x900,Chrome,en-US,-8,landscape,0.63,Delhi,ClusterA,0.57,0
session_206,Mobile,0,4,11,1,5,149,360x640,Safari,fr-FR,11,none,1.23,Delhi,ClusterA,0.178,0
session_207,Mobile,4,2,8,9,11,14,1440x900,Edge,hi-IN,7,none,0.97,Bangalore,ClusterB,0.289,0
session_208,Mobile,5,6,6,7,10,34,1920x1080,Chrome,fr-FR,-10,none,1.48,Unknown,ClusterB,0.448,0
session_209,PC,3,4,4,9,18,49,360x640,Chrome,hi-IN,7,landscape,0.26,Kolkata,ClusterA,0.092,0
session_210,PC,7,3,13,1,10,60,1440x900,Firefox,en-US,5,none,1.19,Delhi,ClusterB,0.657,0
session_211,Mobile,4,2,13,1,12,11,414x896,Edge,fr-FR,1,portrait,0.21,Chennai,ClusterB,0.256,0
session_212,Mobile,1,0,9,2,3,4,1440x900,Firefox,en-GB,11,landscape,0.56,Delhi,ClusterA,0.197,0
session_213,PC,5,3,3,2,0,111,1920x1080,Edge,en-US,6,landscape,1.61,Delhi,ClusterB,0.185,0
session_214,Mobile,5,5,8,1,10,27,360x640,Chrome,hi-IN,5,portrait,0.65,Mumbai,ClusterB,0.23,0
session_215,PC,5,4,4,7,2,30,1440x900,Firefox,en-US,8,portrait,1.32,Mumbai,ClusterA,0.894,1
session_216,PC,3,3,4,3,15,121,1920x1080,Firefox,en-US,11,landscape,0.49,Chennai,ClusterA,0.27,0
session_217,Mobile,2,2,11,2,4,81,414x896,Chrome,en-GB,-10,none,1.73,Mumbai,ClusterC,0.395,0
session_218,Mobile,3,4,8,1,14,258,1920x1080,Firefox,en-US,-6,portrait,-0.06,Kolkata,ClusterA,0.345,0
session_219,PC,2,6,12,2,16,19,1920x1080,Chrome,fr-FR,-10,none,1.15,Delhi,ClusterB,0.244,0
session_220,Mobile,6,2,7,7,7,11,360x640,Edge,en-US,14,none,0.95,Delhi,ClusterA,0.176,0
session_221,PC,10,4,6,6,15,49,1440x900,Edge,en-US,-3,none,1.37,Unknown,ClusterB,0.032,0
session_222,Mobile,4,4,5,2,15,193,1440x900,Chrome,en-GB,11,landscape,0.69,Kolkata,ClusterA,0.083,0
